Format,2.0A,
Memory Length,5000,
Trigger Level,35.0mV,
Source,CH1,
Label, ,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,2.000E-02,
Vertical Position,-1.136E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-05,
Horizontal Position,4.530E-05,
Horizontal Mode,Main,
Sampling Period,2.000E-08,
Firmware,V1.13,
Time,15-Nov-18 23:37:02,
Mode,Detail,
Waveform Data,
-8.496000e-05,7.52e-02,
-8.494000e-05,7.76e-02,
-8.492000e-05,7.60e-02,
-8.490000e-05,7.76e-02,
-8.488000e-05,7.52e-02,
-8.486000e-05,7.76e-02,
-8.484000e-05,7.52e-02,
-8.482000e-05,7.68e-02,
-8.480000e-05,7.60e-02,
-8.478000e-05,7.76e-02,
-8.476000e-05,7.44e-02,
-8.474000e-05,7.76e-02,
-8.472000e-05,7.52e-02,
-8.470000e-05,7.76e-02,
-8.468000e-05,7.52e-02,
-8.466000e-05,7.68e-02,
-8.464000e-05,7.52e-02,
-8.462000e-05,7.68e-02,
-8.460000e-05,7.52e-02,
-8.458000e-05,7.68e-02,
-8.456000e-05,7.44e-02,
-8.454000e-05,7.68e-02,
-8.452000e-05,7.52e-02,
-8.450000e-05,7.68e-02,
-8.448000e-05,7.52e-02,
-8.446000e-05,7.68e-02,
-8.444000e-05,7.52e-02,
-8.442000e-05,7.68e-02,
-8.440000e-05,7.44e-02,
-8.438000e-05,7.68e-02,
-8.436000e-05,7.52e-02,
-8.434000e-05,7.68e-02,
-8.432000e-05,7.52e-02,
-8.430000e-05,7.68e-02,
-8.428000e-05,7.44e-02,
-8.426000e-05,7.68e-02,
-8.424000e-05,7.44e-02,
-8.422000e-05,7.68e-02,
-8.420000e-05,7.44e-02,
-8.418000e-05,7.68e-02,
-8.416000e-05,7.44e-02,
-8.414000e-05,7.68e-02,
-8.412000e-05,7.44e-02,
-8.410000e-05,7.68e-02,
-8.408000e-05,7.52e-02,
-8.406000e-05,7.68e-02,
-8.404000e-05,7.44e-02,
-8.402000e-05,7.68e-02,
-8.400000e-05,7.44e-02,
-8.398000e-05,7.60e-02,
-8.396000e-05,7.44e-02,
-8.394000e-05,7.60e-02,
-8.392000e-05,7.44e-02,
-8.390000e-05,7.68e-02,
-8.388000e-05,7.44e-02,
-8.386000e-05,7.68e-02,
-8.384000e-05,7.44e-02,
-8.382000e-05,7.68e-02,
-8.380000e-05,7.44e-02,
-8.378000e-05,7.68e-02,
-8.376000e-05,7.44e-02,
-8.374000e-05,7.60e-02,
-8.372000e-05,7.44e-02,
-8.370000e-05,7.60e-02,
-8.368000e-05,7.52e-02,
-8.366000e-05,7.60e-02,
-8.364000e-05,7.44e-02,
-8.362000e-05,7.60e-02,
-8.360000e-05,7.36e-02,
-8.358000e-05,7.60e-02,
-8.356000e-05,7.36e-02,
-8.354000e-05,7.52e-02,
-8.352000e-05,7.36e-02,
-8.350000e-05,7.52e-02,
-8.348000e-05,7.36e-02,
-8.346000e-05,7.52e-02,
-8.344000e-05,7.36e-02,
-8.342000e-05,7.52e-02,
-8.340000e-05,7.36e-02,
-8.338000e-05,7.52e-02,
-8.336000e-05,7.36e-02,
-8.334000e-05,7.44e-02,
-8.332000e-05,7.44e-02,
-8.330000e-05,7.52e-02,
-8.328000e-05,7.36e-02,
-8.326000e-05,7.60e-02,
-8.324000e-05,7.36e-02,
-8.322000e-05,7.60e-02,
-8.320000e-05,7.28e-02,
-8.318000e-05,7.52e-02,
-8.316000e-05,7.36e-02,
-8.314000e-05,7.52e-02,
-8.312000e-05,7.36e-02,
-8.310000e-05,7.52e-02,
-8.308000e-05,7.36e-02,
-8.306000e-05,7.44e-02,
-8.304000e-05,7.36e-02,
-8.302000e-05,7.52e-02,
-8.300000e-05,7.28e-02,
-8.298000e-05,7.44e-02,
-8.296000e-05,7.28e-02,
-8.294000e-05,7.44e-02,
-8.292000e-05,7.20e-02,
-8.290000e-05,7.44e-02,
-8.288000e-05,7.20e-02,
-8.286000e-05,7.44e-02,
-8.284000e-05,7.28e-02,
-8.282000e-05,7.44e-02,
-8.280000e-05,7.28e-02,
-8.278000e-05,7.44e-02,
-8.276000e-05,7.28e-02,
-8.274000e-05,7.44e-02,
-8.272000e-05,7.20e-02,
-8.270000e-05,7.44e-02,
-8.268000e-05,7.12e-02,
-8.266000e-05,7.36e-02,
-8.264000e-05,7.20e-02,
-8.262000e-05,7.36e-02,
-8.260000e-05,7.20e-02,
-8.258000e-05,7.36e-02,
-8.256000e-05,7.28e-02,
-8.254000e-05,7.44e-02,
-8.252000e-05,7.20e-02,
-8.250000e-05,7.36e-02,
-8.248000e-05,7.28e-02,
-8.246000e-05,7.44e-02,
-8.244000e-05,7.20e-02,
-8.242000e-05,7.44e-02,
-8.240000e-05,7.20e-02,
-8.238000e-05,7.44e-02,
-8.236000e-05,7.20e-02,
-8.234000e-05,7.36e-02,
-8.232000e-05,7.20e-02,
-8.230000e-05,7.36e-02,
-8.228000e-05,7.20e-02,
-8.226000e-05,7.44e-02,
-8.224000e-05,7.20e-02,
-8.222000e-05,7.36e-02,
-8.220000e-05,7.20e-02,
-8.218000e-05,7.44e-02,
-8.216000e-05,7.20e-02,
-8.214000e-05,7.36e-02,
-8.212000e-05,7.12e-02,
-8.210000e-05,7.28e-02,
-8.208000e-05,7.12e-02,
-8.206000e-05,7.28e-02,
-8.204000e-05,7.12e-02,
-8.202000e-05,7.28e-02,
-8.200000e-05,7.12e-02,
-8.198000e-05,7.28e-02,
-8.196000e-05,7.20e-02,
-8.194000e-05,7.36e-02,
-8.192000e-05,7.12e-02,
-8.190000e-05,7.28e-02,
-8.188000e-05,7.12e-02,
-8.186000e-05,7.36e-02,
-8.184000e-05,7.12e-02,
-8.182000e-05,7.36e-02,
-8.180000e-05,7.04e-02,
-8.178000e-05,7.28e-02,
-8.176000e-05,7.12e-02,
-8.174000e-05,7.28e-02,
-8.172000e-05,7.12e-02,
-8.170000e-05,7.28e-02,
-8.168000e-05,7.12e-02,
-8.166000e-05,7.28e-02,
-8.164000e-05,7.04e-02,
-8.162000e-05,7.28e-02,
-8.160000e-05,7.12e-02,
-8.158000e-05,7.28e-02,
-8.156000e-05,7.04e-02,
-8.154000e-05,7.20e-02,
-8.152000e-05,7.04e-02,
-8.150000e-05,7.20e-02,
-8.148000e-05,7.04e-02,
-8.146000e-05,7.20e-02,
-8.144000e-05,6.96e-02,
-8.142000e-05,7.20e-02,
-8.140000e-05,6.96e-02,
-8.138000e-05,7.20e-02,
-8.136000e-05,6.96e-02,
-8.134000e-05,7.12e-02,
-8.132000e-05,7.04e-02,
-8.130000e-05,7.12e-02,
-8.128000e-05,6.96e-02,
-8.126000e-05,7.20e-02,
-8.124000e-05,6.96e-02,
-8.122000e-05,7.20e-02,
-8.120000e-05,6.96e-02,
-8.118000e-05,7.12e-02,
-8.116000e-05,7.04e-02,
-8.114000e-05,7.20e-02,
-8.112000e-05,7.04e-02,
-8.110000e-05,7.20e-02,
-8.108000e-05,6.96e-02,
-8.106000e-05,7.20e-02,
-8.104000e-05,7.04e-02,
-8.102000e-05,7.20e-02,
-8.100000e-05,7.04e-02,
-8.098000e-05,7.20e-02,
-8.096000e-05,7.04e-02,
-8.094000e-05,7.20e-02,
-8.092000e-05,7.04e-02,
-8.090000e-05,7.12e-02,
-8.088000e-05,7.04e-02,
-8.086000e-05,7.20e-02,
-8.084000e-05,7.04e-02,
-8.082000e-05,7.20e-02,
-8.080000e-05,7.04e-02,
-8.078000e-05,7.20e-02,
-8.076000e-05,7.04e-02,
-8.074000e-05,7.20e-02,
-8.072000e-05,6.96e-02,
-8.070000e-05,7.20e-02,
-8.068000e-05,7.04e-02,
-8.066000e-05,7.20e-02,
-8.064000e-05,7.04e-02,
-8.062000e-05,7.20e-02,
